TelecomFact_ID,Country_Key,Time_Key,NetworkTypeKey,NetworkAccessKey,Telecom_Key,Unit_Key,MeasureValue
1771,4,1,1,3,2,2,13538506.0
3379,4,1,1,6,2,2,4413613.0
4290,4,1,1,7,2,2,2970212.0
3797,4,1,1,11,2,2,158929.0
547,4,1,1,12,2,2,30409751.0
4894,4,1,2,4,2,2,190393144.0
6192,4,1,2,8,2,2,16917204.0
1159,4,1,2,12,2,2,190393144.0
2343,4,2,1,2,2,2,9496397.0
1772,4,2,1,3,2,2,13043669.0
3380,4,2,1,6,2,2,5822333.0
4291,4,2,1,7,2,2,2681081.0
3798,4,2,1,11,2,2,189524.0
548,4,2,1,12,2,2,31233004.0
4895,4,2,2,4,2,2,184570501.0
6193,4,2,2,8,2,2,19791566.0
6723,4,2,2,9,1,1,1.31
1160,4,2,2,12,2,2,184570501.0
2344,4,3,1,2,2,2,9660341.0
1773,4,3,1,3,2,2,11994544.0
3381,4,3,1,6,2,2,7875131.0
4292,4,3,1,7,2,2,2633086.0
3799,4,3,1,11,2,2,218185.0
549,4,3,1,12,2,2,32381287.0
4896,4,3,2,4,2,2,185367477.0
6194,4,3,2,8,2,2,22070337.0
1161,4,3,2,12,2,2,185367477.0
2345,4,4,1,2,2,2,9589685.0
1774,4,4,1,3,2,2,10355761.0
3382,4,4,1,6,2,2,10216112.0
4293,4,4,1,7,2,2,2477298.0
3800,4,4,1,11,2,2,268142.0
550,4,4,1,12,2,2,32906998.0
4897,4,4,2,4,2,2,183789072.0
6195,4,4,2,8,2,2,24664372.0
6724,4,4,2,9,1,1,1.96
1162,4,4,2,12,2,2,183789072.0
2346,4,5,1,2,2,2,9655707.0
1775,4,5,1,3,2,2,8647964.0
3383,4,5,1,6,2,2,13316882.0
4294,4,5,1,7,2,2,2392211.0
3801,4,5,1,11,2,2,306257.0
551,4,5,1,12,2,2,34319021.0
4898,4,5,2,4,2,2,183031197.0
6196,4,5,2,8,2,2,25602188.0
1163,4,5,2,12,2,2,183031197.0
2347,4,6,1,2,2,2,9585016.0
1776,4,6,1,3,2,2,7080514.0
3384,4,6,1,6,2,2,17009811.0
4295,4,6,1,7,2,2,2339155.0
3802,4,6,1,11,2,2,330174.0
552,4,6,1,12,2,2,36344670.0
4899,4,6,2,4,2,2,190738810.0
6197,4,6,2,8,2,2,28232693.0
6725,4,6,2,9,1,1,2.87
1164,4,6,2,12,2,2,190738810.0
2348,4,7,1,2,2,2,9345797.0
1777,4,7,1,3,2,2,5243801.0
3385,4,7,1,6,2,2,21666313.0
4296,4,7,1,7,2,2,1809489.0
3803,4,7,1,11,2,2,303591.0
553,4,7,1,12,2,2,38368991.0
4900,4,7,2,4,2,2,184751958.0
5477,4,7,2,5,2,2,7591121.0
6198,4,7,2,8,2,2,31650907.0
1165,4,7,2,12,2,2,192343079.0
2349,4,8,1,2,2,2,9155265.0
1778,4,8,1,3,2,2,3991359.0
3386,4,8,1,6,2,2,25453245.0
4297,4,8,1,7,2,2,1768430.0
3804,4,8,1,11,2,2,286058.0
554,4,8,1,12,2,2,40654357.0
5686,4,8,2,1,2,2,1213985.0
4901,4,8,2,4,2,2,189002968.0
5478,4,8,2,5,2,2,8184419.0
6199,4,8,2,8,2,2,35050593.0
6726,4,8,2,9,1,1,3.4
1166,4,8,2,12,2,2,197187387.0
2350,4,9,1,2,2,2,9041794.0
1779,4,9,1,3,2,2,3018328.0
3387,4,9,1,6,2,2,28039556.0
4298,4,9,1,7,2,2,1657653.0
3805,4,9,1,11,2,2,283856.0
555,4,9,1,12,2,2,42041187.0
5687,4,9,2,1,2,2,2867905.0
4902,4,9,2,4,2,2,195618746.0
5479,4,9,2,5,2,2,7128225.0
6200,4,9,2,8,2,2,37655108.0
1167,4,9,2,12,2,2,202746971.0
2351,4,10,1,2,2,2,8874669.0
1780,4,10,1,3,2,2,2296276.0
3388,4,10,1,6,2,2,31031844.0
4299,4,10,1,7,2,2,1586415.0
3806,4,10,1,11,2,2,277239.0
556,4,10,1,12,2,2,44066443.0
5688,4,10,2,1,2,2,5719654.0
4903,4,10,2,4,2,2,196025043.0
5480,4,10,2,5,2,2,4221404.0
6201,4,10,2,8,2,2,39062268.0
6727,4,10,2,9,1,1,4.52
1168,4,10,2,12,2,2,200246447.0
2352,4,11,1,2,2,2,8816996.0
1781,4,11,1,3,2,2,1727278.0
3389,4,11,1,6,2,2,33536341.0
4300,4,11,1,7,2,2,1399935.0
3807,4,11,1,11,2,2,324287.0
557,4,11,1,12,2,2,45804837.0
5689,4,11,2,1,2,2,11371985.0
4904,4,11,2,4,2,2,197822736.0
5481,4,11,2,5,2,2,3796536.0
6202,4,11,2,8,2,2,41214210.0
1169,4,11,2,12,2,2,201619272.0
2353,4,12,1,2,2,2,8702705.0
1782,4,12,1,3,2,2,1305820.0
3390,4,12,1,6,2,2,35490625.0
4301,4,12,1,7,2,2,1463035.0
3808,4,12,1,11,2,2,373941.0
558,4,12,1,12,2,2,47336126.0
5690,4,12,2,1,2,2,20479864.0
4905,4,12,2,4,2,2,201188707.0
5482,4,12,2,5,2,2,4472827.0
6203,4,12,2,8,2,2,43059071.0
6728,4,12,2,9,1,1,5.74
1170,4,12,2,12,2,2,205661534.0
2354,4,13,1,2,2,2,8622283.0
1783,4,13,1,3,2,2,1041175.0
3391,4,13,1,6,2,2,37568167.0
4302,4,13,1,7,2,2,1514491.0
3809,4,13,1,11,2,2,450159.0
559,4,13,1,12,2,2,49196275.0
5691,4,13,2,1,2,2,28098987.0
4906,4,13,2,4,2,2,201376514.0
5483,4,13,2,5,2,2,4489760.0
6204,4,13,2,8,2,2,44886810.0
1171,4,13,2,12,2,2,205866274.0
2355,4,14,1,2,2,2,8457145.0
1784,4,14,1,3,2,2,763010.0
3392,4,14,1,6,2,2,39934866.0
4303,4,14,1,7,2,2,1559209.0
3810,4,14,1,11,2,2,538490.0
560,4,14,1,12,2,2,51252720.0
5692,4,14,2,1,2,2,39608278.0
4907,4,14,2,4,2,2,203452322.0
5484,4,14,2,5,2,2,4159067.0
6205,4,14,2,8,2,2,47338411.0
6729,4,14,2,9,1,1,5.95
1172,4,14,2,12,2,2,207611389.0
2356,5,1,1,2,2,2,307931.0
1785,5,1,1,3,2,2,164634.0
3393,5,1,1,6,2,2,949391.0
4304,5,1,1,7,2,2,111497.0
2789,5,1,1,10,2,2,310794.0
3811,5,1,1,11,2,2,227.0
561,5,1,1,12,2,2,1844474.0
4908,5,1,2,4,2,2,4974501.0
5485,5,1,2,5,2,2,1153897.0
6730,5,1,2,9,1,1,2.19
1173,5,1,2,12,2,2,6128398.0
2357,5,2,1,2,2,2,300908.0
1786,5,2,1,3,2,2,153948.0
3394,5,2,1,6,2,2,955097.0
4305,5,2,1,7,2,2,128673.0
2790,5,2,1,10,2,2,365096.0
3812,5,2,1,11,2,2,224.0
562,5,2,1,12,2,2,1903946.0
4909,5,2,2,4,2,2,5100755.0
5486,5,2,2,5,2,2,1119286.0
6206,5,2,2,8,2,2,984793.0
6731,5,2,2,9,1,1,2.78
1174,5,2,2,12,2,2,6220041.0
2358,5,3,1,2,2,2,282769.0
1787,5,3,1,3,2,2,146045.0
3395,5,3,1,6,2,2,1052125.0
