ICT_ID,Country_Key,Time_Key,Measure_Key,ICTUsagePercentage
207,34,6,1,95.4456
208,34,7,1,95.7782
209,34,8,1,96.3365
210,35,1,1,92.07889999999999
211,35,2,1,97.5515
212,35,3,1,97.0802
213,35,4,1,96.76010000000001
214,35,5,1,96.8115
215,35,6,1,97.5946
216,35,7,1,98.0766
217,35,8,1,98.2525
218,36,2,1,96.50568
219,36,4,1,98.1403
220,36,6,1,99.2513
221,36,8,1,98.9208
222,37,1,1,71.0418
223,37,2,1,73.9767
224,37,3,1,77.6696
225,37,4,1,81.4084
226,37,5,1,83.4372
227,37,6,1,85.9607
228,37,7,1,87.3079
229,37,8,1,89.7702
230,38,1,1,94.7763
231,38,2,1,95.5732
232,38,3,1,97.3206
233,39,2,1,83.26
234,39,4,1,83.86
235,39,6,1,86.46
