R&D_ID,R&D_Key,Country_Key,Time_Key,ExpenditureAmount,ResearcherNumber
323,1,38,9,62,52
324,1,39,1,70,46
325,1,39,2,68,47
326,1,39,3,66,47
327,1,39,4,67,46
328,1,39,5,66,48
329,1,39,6,68,47
330,1,40,1,59,50
331,1,40,2,58,49
332,1,40,3,59,50
333,1,40,4,60,51
334,1,40,5,61,52
335,1,40,6,63,54
336,1,40,7,64,51
337,1,40,8,64,54
338,1,41,1,44,59
339,1,41,2,50,58
340,1,41,3,54,57
341,1,41,4,54,57
342,1,41,5,55,57
343,1,41,6,54,57
344,1,41,7,56,55
345,1,41,8,57,52
346,1,41,9,56,51
347,1,42,1,76,53
348,1,42,2,76,55
349,1,42,3,75,62
350,1,42,4,74,62
351,1,42,5,74,61
352,1,42,6,73,61
353,1,42,7,73,60
354,1,42,8,70,58
355,1,42,9,69,56
356,1,43,1,45,70
357,1,43,2,46,71
358,1,43,3,47,71
359,1,43,4,48,74
360,1,43,5,56,78
361,1,43,6,56,79
362,1,43,7,53,79
363,1,43,8,51,78
364,1,44,1,53,50
365,1,44,2,54,51
366,1,44,3,55,51
367,1,44,4,57,52
368,1,44,5,56,53
369,1,44,6,56,54
370,1,44,7,56,55
371,1,44,8,56,55
372,1,44,9,56,55
373,1,45,1,70,68
374,1,45,2,70,67
375,1,45,3,71,71
376,1,45,4,71,73
377,1,45,5,72,71
378,1,45,6,72,72
379,1,45,7,72,75
380,1,45,8,74,75
381,1,45,9,74,73
382,1,8,1,69,50
383,1,8,3,68,51
384,1,8,5,69,51
385,1,8,7,69,50
386,1,8,8,,42
387,1,8,9,69,49
388,1,46,1,49,50
389,1,46,2,50,51
390,1,46,3,50,53
391,1,46,4,53,57
392,1,46,5,56,57
393,1,46,6,56,58
394,1,46,7,61,59
395,1,46,8,61,62
396,1,46,9,65,64
397,1,47,1,76,59
398,1,47,2,77,58
399,1,47,3,77,58
400,1,47,4,70,46
401,1,47,5,71,47
402,1,47,6,71,39
403,1,47,7,71,39
404,1,47,8,70,41
405,1,47,9,69,41
406,1,48,1,72,77
407,1,48,2,73,76
408,1,48,3,74,77
409,1,48,4,74,78
410,1,48,5,75,78
411,1,48,6,76,79
412,1,48,7,78,80
413,1,48,8,78,79
414,1,48,9,78,
