TelecomFact_ID,Country_Key,Time_Key,NetworkTypeKey,NetworkAccessKey,Telecom_Key,Unit_Key,MeasureValue
3888,13,12,1,7,2,2,955615.0
2433,13,12,1,10,2,2,2371.0
48,13,12,1,12,2,2,15572220.0
4395,13,12,2,4,2,2,26738378.0
5007,13,12,2,5,2,2,2556666.0
5742,13,12,2,8,2,2,3881909.0
6267,13,12,2,9,1,1,3.52
660,13,12,2,12,2,2,29295044.0
1877,13,14,1,2,2,2,8051603.0
1273,13,14,1,3,2,2,3200379.0
2881,13,14,1,6,2,2,3618741.0
3889,13,14,1,7,2,2,994877.0
2434,13,14,1,10,2,2,2371.0
49,13,14,1,12,2,2,15867971.0
4396,13,14,2,4,2,2,27181493.0
5008,13,14,2,5,2,2,2568319.0
661,13,14,2,12,2,2,29749812.0
1878,13,15,1,2,2,2,8055758.0
1274,13,15,1,3,2,2,2872539.0
2882,13,15,1,6,2,2,4007872.0
3890,13,15,1,7,2,2,1034137.0
2435,13,15,1,10,2,2,81398.0
50,13,15,1,12,2,2,16051704.0
4397,13,15,2,4,2,2,28347486.0
5009,13,15,2,5,2,2,2509705.0
5743,13,15,2,8,2,2,4707813.0
6268,13,15,2,9,1,1,4.87
662,13,15,2,12,2,2,30857191.0
1879,13,17,1,2,2,2,8099275.0
1275,13,17,1,3,2,2,2742410.0
2883,13,17,1,6,2,2,4209833.0
3891,13,17,1,7,2,2,1061370.0
2436,13,17,1,10,2,2,81398.0
51,13,17,1,12,2,2,16194286.0
4398,13,17,2,4,2,2,29409659.0
5010,13,17,2,5,2,2,2331346.0
5744,13,17,2,8,2,2,4707813.0
6269,13,17,2,9,1,1,4.68
663,13,17,2,12,2,2,31741005.0
1880,13,18,1,2,2,2,8080111.0
1276,13,18,1,3,2,2,2430805.0
2884,13,18,1,6,2,2,4720465.0
3892,13,18,1,7,2,2,1066909.0
2437,13,18,1,10,2,2,76210.0
52,13,18,1,12,2,2,16374500.0
4399,13,18,2,4,2,2,30978377.0
5011,13,18,2,5,2,2,2152319.0
5745,13,18,2,8,2,2,5361272.0
6270,13,18,2,9,1,1,5.86
664,13,18,2,12,2,2,33130696.0
1881,13,20,1,2,2,2,8254911.0
1277,13,20,1,3,2,2,2242141.0
2885,13,20,1,6,2,2,4956722.0
3893,13,20,1,7,2,2,1077937.0
2438,13,20,1,10,2,2,76210.0
53,13,20,1,12,2,2,16607921.0
4400,13,20,2,4,2,2,31166763.0
5012,13,20,2,5,2,2,1969636.0
5746,13,20,2,8,2,2,6281445.0
6271,13,20,2,9,1,1,5.66
665,13,20,2,12,2,2,33136399.0
1882,13,21,1,2,2,2,7948034.0
1278,13,21,1,3,2,2,2139089.0
2886,13,21,1,6,2,2,5344728.0
3894,13,21,1,7,2,2,1182619.0
2439,13,21,1,10,2,2,97151.0
54,13,21,1,12,2,2,16711621.0
4401,13,21,2,4,2,2,32730629.0
5013,13,21,2,5,2,2,1842847.0
5747,13,21,2,8,2,2,6823320.0
6272,13,21,2,9,1,1,6.99
666,13,21,2,12,2,2,34573476.0
1883,13,23,1,2,2,2,7984414.0
1279,13,23,1,3,2,2,2048286.0
2887,13,23,1,6,2,2,5525036.0
3895,13,23,1,7,2,2,1221189.0
2440,13,23,1,10,2,2,97151.0
55,13,23,1,12,2,2,16876076.0
4402,13,23,2,4,2,2,33498772.0
5014,13,23,2,5,2,2,1701820.0
5748,13,23,2,8,2,2,7585448.0
6273,13,23,2,9,1,1,8.48
667,13,23,2,12,2,2,35200592.0
1884,13,24,1,2,2,2,7926098.0
1280,13,24,1,3,2,2,1842822.0
2888,13,24,1,6,2,2,5889945.0
3896,13,24,1,7,2,2,1249194.0
2441,13,24,1,10,2,2,137710.0
56,13,24,1,12,2,2,17045769.0
4403,13,24,2,4,2,2,34368570.0
5015,13,24,2,5,2,2,1589363.0
5749,13,24,2,8,2,2,7894939.0
6274,13,24,2,9,1,1,8.75
668,13,24,2,12,2,2,35957933.0
1885,15,5,1,2,2,2,1743321.0
1281,15,5,1,3,2,2,692893.0
2889,15,5,1,6,2,2,513045.0
3897,15,5,1,7,2,2,11817.0
2442,15,5,1,10,2,2,188513.0
57,15,5,1,12,2,2,3149589.0
4404,15,5,2,4,2,2,16197124.0
5016,15,5,2,5,2,2,818468.0
5750,15,5,2,8,2,2,523009.0
6275,15,5,2,9,1,1,5.21
669,15,5,2,12,2,2,17015592.0
1886,15,6,1,2,2,2,1782843.0
1282,15,6,1,3,2,2,586272.0
2890,15,6,1,6,2,2,702759.0
3898,15,6,1,7,2,2,11225.0
2443,15,6,1,10,2,2,167789.0
58,15,6,1,12,2,2,3250888.0
4405,15,6,2,4,2,2,16414065.0
5017,15,6,2,5,2,2,737559.0
5751,15,6,2,8,2,2,542811.0
6276,15,6,2,9,1,1,6.62
670,15,6,2,12,2,2,17151624.0
1887,15,8,1,2,2,2,1817946.0
1283,15,8,1,3,2,2,483230.0
2891,15,8,1,6,2,2,854076.0
3899,15,8,1,7,2,2,105494.0
2444,15,8,1,10,2,2,134304.0
59,15,8,1,12,2,2,3395050.0
4406,15,8,2,4,2,2,17021600.0
5018,15,8,2,5,2,2,652214.0
5752,15,8,2,8,2,2,518173.0
6277,15,8,2,9,1,1,8.18
671,15,8,2,12,2,2,17673814.0
1888,15,9,1,2,2,2,1827474.0
1284,15,9,1,3,2,2,402740.0
2892,15,9,1,6,2,2,957235.0
3900,15,9,1,7,2,2,129927.0
2445,15,9,1,10,2,2,112292.0
60,15,9,1,12,2,2,3429668.0
4407,15,9,2,4,2,2,17435976.0
5019,15,9,2,5,2,2,570505.0
5753,15,9,2,8,2,2,509625.0
6278,15,9,2,9,1,1,9.85
672,15,9,2,12,2,2,18006481.0
1889,15,11,1,2,2,2,1871514.0
1285,15,11,1,3,2,2,298568.0
2893,15,11,1,6,2,2,1175000.0
3901,15,11,1,7,2,2,155115.0
2446,15,11,1,10,2,2,82939.0
61,15,11,1,12,2,2,3583136.0
4408,15,11,2,4,2,2,17438354.0
5020,15,11,2,5,2,2,638288.0
5754,15,11,2,8,2,2,455670.0
6279,15,11,2,9,1,1,11.5
673,15,11,2,12,2,2,18076642.0
1890,15,12,1,2,2,2,1785536.0
1286,15,12,1,3,2,2,237777.0
2894,15,12,1,6,2,2,1519550.0
3902,15,12,1,7,2,2,159972.0
2447,15,12,1,10,2,2,60991.0
62,15,12,1,12,2,2,3763826.0
4409,15,12,2,4,2,2,18602530.0
5021,15,12,2,5,2,2,761360.0
5755,15,12,2,8,2,2,511517.0
6280,15,12,2,9,1,1,12.75
674,15,12,2,12,2,2,19363890.0
1891,15,14,1,2,2,2,1690302.0
1287,15,14,1,3,2,2,187083.0
