Patent_ID,Country_Key,Time_Key,PatentAuthorityKey,Patent_Key,AgentRoleKey,PatentCount
2236,3,13,2,2,1,37.32780075073242
2235,3,13,2,2,2,110.9056015014648
2232,3,13,3,1,1,28.33329963684082
2231,3,13,3,1,2,53.80759811401367
2238,4,4,1,1,1,1.0
2237,4,4,1,1,2,5.682600021362305
2241,4,4,1,2,1,1.0
2242,4,4,1,2,1,0.5
2239,4,4,1,2,2,1.0
2240,4,4,1,2,2,3.583300113677979
2246,4,4,2,1,1,3.5
2245,4,4,2,1,2,14.24209976196289
2249,4,4,2,2,1,0.0
2250,4,4,2,2,1,3.866699934005737
2247,4,4,2,2,2,7.934500217437744
2248,4,4,2,2,2,14.16670036315918
2244,4,4,3,1,1,5.0
2243,4,4,3,1,2,12.1826000213623
2252,4,7,1,1,1,0.333299994468689
2251,4,7,1,1,2,4.198400020599365
2255,4,7,1,2,1,0.0
2256,4,7,1,2,1,0.0
2253,4,7,1,2,2,0.0
2254,4,7,1,2,2,5.0
2260,4,7,2,1,1,0.0
2259,4,7,2,1,2,27.54129981994629
2263,4,7,2,2,1,4.5
2264,4,7,2,2,1,2.666699886322021
2261,4,7,2,2,2,22.08329963684082
2262,4,7,2,2,2,26.55120086669922
2258,4,7,3,1,1,3.0
2257,4,7,3,1,2,5.365099906921387
2266,4,10,1,1,1,1.5
2265,4,10,1,1,2,5.617899894714355
2269,4,10,1,2,1,0.5
2270,4,10,1,2,1,1.5
2267,4,10,1,2,2,1.933300018310547
2268,4,10,1,2,2,5.892899990081787
2274,4,10,2,1,1,0.25
2273,4,10,2,1,2,19.52020072937012
2277,4,10,2,2,1,0.0
2278,4,10,2,2,1,3.950000047683716
2275,4,10,2,2,2,7.142899990081787
2276,4,10,2,2,2,21.04290008544922
2272,4,10,3,1,1,2.5
2271,4,10,3,1,2,7.351200103759766
2280,4,13,1,1,1,3.0
2279,4,13,1,1,2,3.833300113677979
2282,4,13,1,2,1,0.0
2281,4,13,1,2,2,3.616699934005737
2286,4,13,2,1,1,3.164299964904785
2285,4,13,2,1,2,16.33099937438965
2288,4,13,2,2,1,1.0
2287,4,13,2,2,2,20.46669960021973
2284,4,13,3,1,1,4.5
2283,4,13,3,1,2,7.190499782562256
2,5,4,1,1,1,883.0
1,5,4,1,1,2,988.8630981445312
5,5,4,1,2,1,123.1667022705078
6,5,4,1,2,1,536.75
3,5,4,1,2,2,178.085693359375
4,5,4,1,2,2,683.9265747070312
10,5,4,2,1,1,1999.699951171875
